id,FastCharge_KmH,RapidCharge,PlugType,range_id
103,940,Yes,Type 2 CCS,5
102,250,Yes,Type 2 CCS,10
101,620,Yes,Type 2 CCS,15
100,560,Yes,Type 2 CCS,20
99,190,Yes,Type 2 CCS,25
98,620,Yes,Type 2 CCS,30
97,220,Yes,Type 2 CCS,35
96,420,Yes,Type 2 CCS,40
95,650,Yes,Type 2 CCS,45
94,540,Yes,Type 2 CCS,50
93,440,Yes,Type 2 CCS,55
92,230,Yes,Type 2 CHAdeMO,60
91,380,Yes,Type 2 CCS,65
90,650,Yes,Type 2 CCS,70
89,210,Yes,Type 2 CCS,75
88,590,Yes,Type 2 CCS,80
87,780,Yes,Type 2 CCS,85
86,170,Yes,Type 2 CCS,90
85,260,Yes,Type 2 CCS,95
84,260,Yes,Type 2 CCS,100
83,420,Yes,Type 2 CCS,105
82,930,Yes,Type 2 CCS,110
81,230,Yes,Type 2 CCS,115
80,850,Yes,Type 2 CCS,120
79,910,Yes,Type 2 CCS,125
78,560,Yes,Type 2 CCS,130
77,490,Yes,Type 2 CCS,135
76,470,Yes,Type 2 CCS,140
75,270,Yes,Type 2 CCS,145
74,380,Yes,Type 2 CCS,150
73,450,Yes,Type 2 CCS,155
72,350,Yes,Type 2 CCS,160
71,230,Yes,Type 2 CCS,165
70,710,Yes,Type 2 CCS,170
69,240,Yes,Type 2 CCS,175
68,390,Yes,Type 2 CHAdeMO,180
67,190,Yes,Type 2 CHAdeMO,185
66,570,Yes,Type 2 CCS,190
65,230,Yes,Type 2 CCS,195
64,440,Yes,Type 2 CCS,200
63,560,Yes,Type 2,205
62,210,Yes,Type 2 CCS,210
61,610,Yes,Type 2 CCS,215
60,170,Yes,Type 2 CCS,220
59,170,Yes,Type 2 CCS,225
58,340,Yes,Type 2 CCS,230
57,210,Yes,Type 2 CCS,235
56,730,Yes,Type 2 CCS,240
55,540,Yes,Type 2 CCS,245
54,350,Yes,Type 2 CCS,250
53,590,Yes,Type 2 CCS,255
52,920,Yes,Type 2 CCS,260
51,390,Yes,Type 2 CCS,265
50,560,Yes,Type 2 CCS,270
49,490,Yes,Type 2,275
48,190,Yes,Type 2 CCS,280
47,380,Yes,Type 2 CCS,285
46,0,No,Type 2,290
45,380,Yes,Type 2 CCS,295
44,550,Yes,Type 2,300
43,230,Yes,Type 2 CCS,305
42,900,Yes,Type 2 CCS,310
41,520,Yes,Type 2 CCS,315
40,340,Yes,Type 2 CCS,320
39,430,Yes,Type 2 CCS,325
38,890,Yes,Type 2 CCS,330
37,190,Yes,Type 1 CHAdeMO,335
36,710,Yes,Type 2 CCS,340
35,0,No,Type 2,345
34,410,Yes,Type 2 CCS,350
33,260,Yes,Type 2 CCS,355
32,540,Yes,Type 2 CCS,360
31,770,Yes,Type 2 CCS,365
30,460,Yes,Type 2 CCS,370
29,270,Yes,Type 2 CCS,375
28,230,Yes,Type 2 CCS,380
27,550,Yes,Type 2 CCS,385
26,0,No,Type 2,390
25,360,Yes,Type 2 CCS,395
24,810,Yes,Type 2 CCS,400
23,470,Yes,Type 2 CCS,405
22,480,Yes,Type 2,410
21,0,No,Type 2,415
20,380,Yes,Type 2 CCS,420
19,290,Yes,Type 2 CCS,425
18,330,Yes,Type 2 CCS,430
17,740,Yes,Type 2 CCS,435
16,470,Yes,Type 2 CCS,440
15,540,Yes,Type 2 CCS,445
14,440,Yes,Type 2 CCS,450
13,510,Yes,Type 2 CCS,455
12,0,No,Type 2,460
11,320,Yes,Type 2 CCS,465
10,500,Yes,Type 2 CCS,470
9,330,Yes,Type 2 CCS,475
8,470,Yes,Type 2 CCS,480
7,220,Yes,Type 2 CCS,485
6,420,Yes,Type 2 CCS,490
5,440,Yes,Type 2 CCS,495
4,540,Yes,Type 2 CCS,500
3,440,Yes,Type 2 CCS,505
2,450,Yes,Type 2 CCS,510
1,480,Yes,Type 2 CCS,515